"SNP_model","predictor","grid","coordinate_1","coordinate_2","coordinate_1_raw","coordinate_2_raw"
"rs929708","SNP",0.666666666666667,0.0212397612842194,-0.00274559597151033,0.0210537376345226,-0.00312720952827982
"rs929708","SNP",0.676767676767677,0.0256924977810324,-0.00261223941264158,0.0257700720873384,-0.00250343494820172
"rs929708","SNP",0.686868686868687,0.0259061830580834,0.000423123929028696,0.0259718560654433,0.000652136098192337
"rs929708","SNP",0.696969696969697,0.0225364769535619,0.00313208792053338,0.0222968852110575,0.00255084073033391
"rs929708","SNP",0.707070707070707,0.01578889293505,0.00519042999873612,0.0160458587791342,0.00595977319901573
"rs929708","SNP",0.717171717171717,0.00712448971593283,0.00653966577781165,0.00714459197171533,0.00606118514126485
"rs929708","SNP",0.727272727272727,-0.00119889174857673,0.00696706590535076,-0.00149562195508086,0.00700591277358367
"rs929708","SNP",0.737373737373737,-0.00519556883030532,0.00613391605876422,-0.00490468605016695,0.00641325591171997
"rs929708","SNP",0.747474747474748,-0.00248803758091637,0.00444303808256994,-0.00264856324897911,0.00398513165515232
"rs929708","SNP",0.757575757575758,0.00203933813437395,0.00430440820402148,0.00211258310512382,0.00471706679316695
"rs929708","SNP",0.767676767676768,0.00505680966729434,0.00456113403653398,0.00508809342207587,0.00434595636067553
"rs929708","SNP",0.777777777777778,0.00457289679543261,0.00357251199060165,0.00440078417189682,0.00361106312094174
"rs929708","SNP",0.787878787878788,0.000812385647081423,0.00200863228179689,0.000978586890251546,0.00213161340697429
"rs929708","SNP",0.797979797979798,-0.00372856995319747,0.000765299551729635,-0.00362536546981004,0.000512447360120538
"rs929708","SNP",0.808080808080808,-0.00653724390794582,0.000489986362178166,-0.00689476058269633,0.000765381710856206
"rs929708","SNP",0.818181818181818,-0.00686640887728411,0.00121228658250879,-0.00652990092465707,0.000996684809850558
"rs929708","SNP",0.828282828282828,-0.00511771215122364,0.00275142009648648,-0.00530812807850264,0.0028826456286396
"rs929708","SNP",0.838383838383838,-0.00359036154434709,0.0048388100352998,-0.00356778279758388,0.00481196739714383
"rs929708","SNP",0.848484848484849,-0.00156130786208269,0.00769325720730699,-0.00132726700563082,0.00755956957843035
"rs929708","SNP",0.858585858585859,0.00221243722616944,0.0114292135613397,0.00182354370401591,0.0116470429684572
"rs929708","SNP",0.868686868686869,0.00732386164547103,0.0152004536184549,0.00751015732146455,0.014952938947713
"rs929708","SNP",0.878787878787879,0.0132162009898161,0.0178422141824214,0.0134378187353948,0.0181528830165778
"rs929708","SNP",0.888888888888889,0.0193993680000579,0.0184080163633882,0.0189850061126603,0.0181777431759305
"rs929708","SNP",0.898989898989899,0.0217087674497393,0.0180000439021945,0.0218528459688725,0.0178642869275978
